movie_id,person_id,type,year
6966692,,BEST-PICTURE,2019
1727824,1785339,BEST-ACTOR,2019
5083738,1469236,BEST-ACTRESS,2019
6966692,0991810,BEST-SUPPORTING-ACTOR,2019
7125860,0005093,BEST-SUPPORTING-ACTRESS,2019
6155172,0190859,BEST-DIRECTOR,2019
5580390,,BEST-PICTURE,2018
4555426,0000198,BEST-ACTOR,2018
5027774,0000531,BEST-ACTRESS,2018
5027774,0005377,BEST-SUPPORTING-ACTOR,2018
5580036,0005049,BEST-SUPPORTING-ACTRESS,2018
5580390,0868219,BEST-DIRECTOR,2018
4975722,,BEST-PICTURE,2017
4034228,0000729,BEST-ACTOR,2017
3783958,1297015,BEST-ACTRESS,2017
4975722,0991810,BEST-SUPPORTING-ACTOR,2017
2671706,0205626,BEST-SUPPORTING-ACTRESS,2017
3783958,3227090,BEST-DIRECTOR,2017
1895587,,BEST-PICTURE,2016
1663202,0000138,BEST-ACTOR,2016
3170832,0488953,BEST-ACTRESS,2016
3682448,0753314,BEST-SUPPORTING-ACTOR,2016
0810819,2539953,BEST-SUPPORTING-ACTRESS,2016
1663202,0327944,BEST-DIRECTOR,2016
2562232,,BEST-PICTURE,2015
2980516,1519666,BEST-ACTOR,2015
3316960,0000194,BEST-ACTRESS,2015
2582802,0799777,BEST-SUPPORTING-ACTOR,2015
1065073,0000099,BEST-SUPPORTING-ACTRESS,2015
2562232,0327944,BEST-DIRECTOR,2015
2024544,,BEST-PICTURE,2014
0790636,0000190,BEST-ACTOR,2014
2334873,0000949,BEST-ACTRESS,2014
0790636,0001467,BEST-SUPPORTING-ACTOR,2014
2024544,2143282,BEST-SUPPORTING-ACTRESS,2014
1454468,0190859,BEST-DIRECTOR,2014
1024648,,BEST-PICTURE,2013
0443272,0000358,BEST-ACTOR,2013
1045658,2225369,BEST-ACTRESS,2013
1853728,0910607,BEST-SUPPORTING-ACTOR,2013
1707386,0004266,BEST-SUPPORTING-ACTRESS,2013
0454876,0000487,BEST-DIRECTOR,2013
1655442,,BEST-PICTURE,2012
1655442,0241121,BEST-ACTOR,2012
1007029,0000658,BEST-ACTRESS,2012
1532503,0001626,BEST-SUPPORTING-ACTOR,2012
1454029,0818055,BEST-SUPPORTING-ACTRESS,2012
1655442,0371890,BEST-DIRECTOR,2012
1504320,,BEST-PICTURE,2011
1504320,0000147,BEST-ACTOR,2011
0947798,0000204,BEST-ACTRESS,2011
0964517,0000288,BEST-SUPPORTING-ACTOR,2011
0964517,0502425,BEST-SUPPORTING-ACTRESS,2011
1504320,0393799,BEST-DIRECTOR,2011
0887912,,BEST-PICTURE,2010
1263670,0000313,BEST-ACTOR,2010
0878804,0000113,BEST-ACTRESS,2010
0361748,0910607,BEST-SUPPORTING-ACTOR,2010
0929632,0594898,BEST-SUPPORTING-ACTRESS,2010
0887912,0000941,BEST-DIRECTOR,2010
1010048,,BEST-PICTURE,2009
1013753,0000576,BEST-ACTOR,2009
0976051,0000701,BEST-ACTRESS,2009
0468569,0005132,BEST-SUPPORTING-ACTOR,2009
0497465,0004851,BEST-SUPPORTING-ACTRESS,2009
1010048,0000965,BEST-DIRECTOR,2009
0477348,,BEST-PICTURE,2008
0469494,0000358,BEST-ACTOR,2008
0450188,0182839,BEST-ACTRESS,2008
0477348,0000849,BEST-SUPPORTING-ACTOR,2008
0465538,0842770,BEST-SUPPORTING-ACTRESS,2008
0477348,0001053,BEST-DIRECTOR,2008
0407887,,BEST-PICTURE,2007
0455590,0001845,BEST-ACTOR,2007
0436697,0000545,BEST-ACTRESS,2007
0449059,0000273,BEST-SUPPORTING-ACTOR,2007
0443489,1617685,BEST-SUPPORTING-ACTRESS,2007
0407887,0000217,BEST-DIRECTOR,2007
0375679,,BEST-PICTURE,2006
0379725,0000450,BEST-ACTOR,2006
0358273,0000702,BEST-ACTRESS,2006
0365737,0000123,BEST-SUPPORTING-ACTOR,2006
0387131,0001838,BEST-SUPPORTING-ACTRESS,2006
0388795,0000487,BEST-DIRECTOR,2006
0405159,,BEST-PICTURE,2005
0350258,0004937,BEST-ACTOR,2005
0405159,0005476,BEST-ACTRESS,2005
0405159,0000151,BEST-SUPPORTING-ACTOR,2005
0338751,0000949,BEST-SUPPORTING-ACTRESS,2005
0405159,0000142,BEST-DIRECTOR,2005
0167260,,BEST-PICTURE,2004
0327056,0000576,BEST-ACTOR,2004
0340855,0000234,BEST-ACTRESS,2004
0327056,0000209,BEST-SUPPORTING-ACTOR,2004
0159365,0000250,BEST-SUPPORTING-ACTRESS,2004
0167260,0001392,BEST-DIRECTOR,2004
0299658,,BEST-PICTURE,2003
0253474,0004778,BEST-ACTOR,2003
0274558,0000173,BEST-ACTRESS,2003
0268126,0177933,BEST-SUPPORTING-ACTOR,2003
0299658,0001876,BEST-SUPPORTING-ACTRESS,2003
0253474,0000591,BEST-DIRECTOR,2003
0268978,,BEST-PICTURE,2002
0139654,0000243,BEST-ACTOR,2002
0285742,0000932,BEST-ACTRESS,2002
0280778,0000980,BEST-SUPPORTING-ACTOR,2002
0268978,0000124,BEST-SUPPORTING-ACTRESS,2002
0268978,0000165,BEST-DIRECTOR,2002
0172495,,BEST-PICTURE,2001
0172495,0000128,BEST-ACTOR,2001
0195685,0000210,BEST-ACTRESS,2001
0181865,0001125,BEST-SUPPORTING-ACTOR,2001
0183659,0001315,BEST-SUPPORTING-ACTRESS,2001
0181865,0001752,BEST-DIRECTOR,2001
0169547,,BEST-PICTURE,2000
0169547,0000228,BEST-ACTOR,2000
0171804,0005476,BEST-ACTRESS,2000
0124315,0000323,BEST-SUPPORTING-ACTOR,2000
0172493,0001401,BEST-SUPPORTING-ACTRESS,2000
0169547,0005222,BEST-DIRECTOR,2000
0138097,,BEST-PICTURE,1999
0118799,0000905,BEST-ACTOR,1999
0138097,0000569,BEST-ACTRESS,1999
0118564,0000336,BEST-SUPPORTING-ACTOR,1999
0138097,0001132,BEST-SUPPORTING-ACTRESS,1999
0120815,0000229,BEST-DIRECTOR,1999
0120338,,BEST-PICTURE,1998
0119822,0000197,BEST-ACTOR,1998
0119822,0000166,BEST-ACTRESS,1998
0119217,0000245,BEST-SUPPORTING-ACTOR,1998
0119488,0000107,BEST-SUPPORTING-ACTRESS,1998
0120338,0000116,BEST-DIRECTOR,1998
0116209,,BEST-PICTURE,1997
0117631,0001691,BEST-ACTOR,1997
0116282,0000531,BEST-ACTRESS,1997
0116695,0000421,BEST-SUPPORTING-ACTOR,1997
0116209,0000300,BEST-SUPPORTING-ACTRESS,1997
0116209,0005237,BEST-DIRECTOR,1997
0112573,,BEST-PICTURE,1996
0113627,0000115,BEST-ACTOR,1996
0112818,0000215,BEST-ACTRESS,1996
0114814,0000228,BEST-SUPPORTING-ACTOR,1996
0113819,0000227,BEST-SUPPORTING-ACTRESS,1996
0112573,0000154,BEST-DIRECTOR,1996
0109830,,BEST-PICTURE,1995
0109830,0000158,BEST-ACTOR,1995
0109306,0001448,BEST-ACTRESS,1995
0109707,0001445,BEST-SUPPORTING-ACTOR,1995
0109348,0001848,BEST-SUPPORTING-ACTRESS,1995
0109830,0000709,BEST-DIRECTOR,1995
0108052,,BEST-PICTURE,1994
0107818,0000158,BEST-ACTOR,1994
0107822,0000456,BEST-ACTRESS,1994
0106977,0000169,BEST-SUPPORTING-ACTOR,1994
0107822,0001593,BEST-SUPPORTING-ACTRESS,1994
0108052,0000229,BEST-DIRECTOR,1994
0105695,,BEST-PICTURE,1993
0105323,0000199,BEST-ACTOR,1993
0104454,0000668,BEST-ACTRESS,1993
0105695,0000432,BEST-SUPPORTING-ACTOR,1993
0104952,0000673,BEST-SUPPORTING-ACTRESS,1993
0105695,0000142,BEST-DIRECTOR,1993
0102926,,BEST-PICTURE,1992
0102926,0000164,BEST-ACTOR,1992
0102926,0000149,BEST-ACTRESS,1992
0101587,0001588,BEST-SUPPORTING-ACTOR,1992
0101889,0001689,BEST-SUPPORTING-ACTRESS,1992
0102926,0001129,BEST-DIRECTOR,1992
0099348,,BEST-PICTURE,1991
0100486,0000460,BEST-ACTOR,1991
0100157,0000870,BEST-ACTRESS,1991
0099685,0000582,BEST-SUPPORTING-ACTOR,1991
0099653,0000155,BEST-SUPPORTING-ACTRESS,1991
0099348,0000126,BEST-DIRECTOR,1991
0097239,,BEST-PICTURE,1990
0097937,0000358,BEST-ACTOR,1990
0097239,0001788,BEST-ACTRESS,1990
0097441,0000243,BEST-SUPPORTING-ACTOR,1990
0097937,0002084,BEST-SUPPORTING-ACTRESS,1990
0096969,0000231,BEST-DIRECTOR,1990
0095953,,BEST-PICTURE,1989
0095953,0000163,BEST-ACTOR,1989
0094608,0000149,BEST-ACTRESS,1989
0095159,0000177,BEST-SUPPORTING-ACTOR,1989
0094606,0000133,BEST-SUPPORTING-ACTRESS,1989
0095953,0001469,BEST-DIRECTOR,1989
0093389,,BEST-PICTURE,1988
0094291,0000140,BEST-ACTOR,1988
0093565,0000333,BEST-ACTRESS,1988
0094226,0000125,BEST-SUPPORTING-ACTOR,1988
0093565,0001156,BEST-SUPPORTING-ACTRESS,1988
0093389,0000934,BEST-DIRECTOR,1988
0091763,,BEST-PICTURE,1987
0090863,0000056,BEST-ACTOR,1987
0090830,0559144,BEST-ACTRESS,1987
0091167,0000323,BEST-SUPPORTING-ACTOR,1987
0091167,0001848,BEST-SUPPORTING-ACTRESS,1987
0091763,0000231,BEST-DIRECTOR,1987
0089755,,BEST-PICTURE,1986
0089424,0000458,BEST-ACTOR,1986
0090203,0656183,BEST-ACTRESS,1986
0088933,0000747,BEST-SUPPORTING-ACTOR,1986
0089841,0001378,BEST-SUPPORTING-ACTRESS,1986
0089755,0001628,BEST-DIRECTOR,1986
0086879,,BEST-PICTURE,1985
0086879,0000719,BEST-ACTOR,1985
0087921,0000398,BEST-ACTRESS,1985
0087553,0628955,BEST-SUPPORTING-ACTOR,1985
0087892,0001919,BEST-SUPPORTING-ACTRESS,1985
0086879,0001232,BEST-DIRECTOR,1985
0086425,,BEST-PICTURE,1984
0086423,0000380,BEST-ACTOR,1984
0086425,0000511,BEST-ACTRESS,1984
0086425,0000197,BEST-SUPPORTING-ACTOR,1984
0086617,0001373,BEST-SUPPORTING-ACTRESS,1984
0086425,0000985,BEST-DIRECTOR,1984
0083987,,BEST-PICTURE,1983
0083987,0001426,BEST-ACTOR,1983
0084707,0000658,BEST-ACTRESS,1983
0084434,0001283,BEST-SUPPORTING-ACTOR,1983
0084805,0001448,BEST-SUPPORTING-ACTRESS,1983
0083987,0000277,BEST-DIRECTOR,1983
0082158,,BEST-PICTURE,1982
0082846,0000020,BEST-ACTOR,1982
0082846,0000031,BEST-ACTRESS,1982
0082031,0000024,BEST-SUPPORTING-ACTOR,1982
0082979,0822972,BEST-SUPPORTING-ACTRESS,1982
0082979,0000886,BEST-DIRECTOR,1982
0081283,,BEST-PICTURE,1981
0081398,0000134,BEST-ACTOR,1981
0080549,0000651,BEST-ACTRESS,1981
0081283,0000459,BEST-SUPPORTING-ACTOR,1981
0081150,0005460,BEST-SUPPORTING-ACTRESS,1981
0081283,0000602,BEST-DIRECTOR,1981
0079417,,BEST-PICTURE,1980
0079417,0000163,BEST-ACTOR,1980
0079638,0000398,BEST-ACTRESS,1980
0078841,0002048,BEST-SUPPORTING-ACTOR,1980
0079417,0000658,BEST-SUPPORTING-ACTRESS,1980
0079417,0000914,BEST-DIRECTOR,1980
0077416,,BEST-PICTURE,1979
0077362,0000685,BEST-ACTOR,1979
0077362,0000404,BEST-ACTRESS,1979
0077416,0000686,BEST-SUPPORTING-ACTOR,1979
0077289,0001749,BEST-SUPPORTING-ACTRESS,1979
0077416,0001047,BEST-DIRECTOR,1979
0075686,,BEST-PICTURE,1978
0076095,0000377,BEST-ACTOR,1978
0075686,0000473,BEST-ACTRESS,1978
0076245,0001673,BEST-SUPPORTING-ACTOR,1978
0076245,0000603,BEST-SUPPORTING-ACTRESS,1978
0075686,0000095,BEST-DIRECTOR,1978
0075148,,BEST-PICTURE,1977
0074958,0002075,BEST-ACTOR,1977
0074958,0001159,BEST-ACTRESS,1977
0074119,0001673,BEST-SUPPORTING-ACTOR,1977
0074958,0833152,BEST-SUPPORTING-ACTRESS,1977
0075148,0000814,BEST-DIRECTOR,1977
0073486,,BEST-PICTURE,1976
0073486,0000197,BEST-ACTOR,1976
0073486,0001221,BEST-ACTRESS,1976
0073766,0122675,BEST-SUPPORTING-ACTOR,1976
0073692,0335519,BEST-SUPPORTING-ACTRESS,1976
0073486,0001232,BEST-DIRECTOR,1976
0071562,,BEST-PICTURE,1975
0071598,0138770,BEST-ACTOR,1975
0071115,0000995,BEST-ACTRESS,1975
0071562,0000134,BEST-SUPPORTING-ACTOR,1975
0071877,0000006,BEST-SUPPORTING-ACTRESS,1975
0071562,0000338,BEST-DIRECTOR,1975
0070735,,BEST-PICTURE,1974
0070640,0000493,BEST-ACTOR,1974
0070819,0413559,BEST-ACTRESS,1974
0070509,0002144,BEST-SUPPORTING-ACTOR,1974
0070510,0001575,BEST-SUPPORTING-ACTRESS,1974
0070735,0001351,BEST-DIRECTOR,1974
0068646,,BEST-PICTURE,1973
0068646,0000008,BEST-ACTOR,1973
0068327,0591485,BEST-ACTRESS,1973
0068327,0001297,BEST-SUPPORTING-ACTOR,1973
0068326,0373012,BEST-SUPPORTING-ACTRESS,1973
0068327,0002080,BEST-DIRECTOR,1973
0067116,,BEST-PICTURE,1972
0067116,0000432,BEST-ACTOR,1972
0067309,0000404,BEST-ACTRESS,1972
0067328,0424565,BEST-SUPPORTING-ACTOR,1972
0067328,0001458,BEST-SUPPORTING-ACTRESS,1972
0067116,0001243,BEST-DIRECTOR,1972
0066206,,BEST-PICTURE,1971
0066206,0001715,BEST-ACTOR,1971
0066579,0413559,BEST-ACTRESS,1971
0066319,0590055,BEST-SUPPORTING-ACTOR,1971
0065377,0371040,BEST-SUPPORTING-ACTRESS,1971
0066206,0769874,BEST-DIRECTOR,1971
0064665,,BEST-PICTURE,1970
0065126,0000078,BEST-ACTOR,1970
0064840,0001749,BEST-ACTRESS,1970
0065088,0949574,BEST-SUPPORTING-ACTOR,1970
0064117,0000443,BEST-SUPPORTING-ACTRESS,1970
0064665,0772259,BEST-DIRECTOR,1970
0063385,,BEST-PICTURE,1969
0062794,0731772,BEST-ACTOR,1969
0062994,0000659,BEST-ACTRESS,1969
0063227,0000031,BEST-ACTRESS,1969
0063654,0016776,BEST-SUPPORTING-ACTOR,1969
0063522,0002106,BEST-SUPPORTING-ACTRESS,1969
0063385,0715346,BEST-DIRECTOR,1969
0061811,,BEST-PICTURE,1968
0061811,0001768,BEST-ACTOR,1968
0061735,0000031,BEST-ACTRESS,1968
0061512,0001421,BEST-SUPPORTING-ACTOR,1968
0061418,0663820,BEST-SUPPORTING-ACTRESS,1968
0061722,0001566,BEST-DIRECTOR,1968
0060665,,BEST-PICTURE,1967
0060665,0006890,BEST-ACTOR,1967
0061184,0000072,BEST-ACTRESS,1967
0060424,0000527,BEST-SUPPORTING-ACTOR,1967
0061184,0006800,BEST-SUPPORTING-ACTRESS,1967
0060665,0003593,BEST-DIRECTOR,1967
0059742,,BEST-PICTURE,1966
0059017,0001511,BEST-ACTOR,1966
0059084,0001046,BEST-ACTRESS,1966
0059798,0000842,BEST-SUPPORTING-ACTOR,1966
0059573,0001859,BEST-SUPPORTING-ACTRESS,1966
0059742,0936404,BEST-DIRECTOR,1966
0058385,,BEST-PICTURE,1965
0058385,0001322,BEST-ACTOR,1965
0058331,0000267,BEST-ACTRESS,1965
0058672,0001811,BEST-SUPPORTING-ACTOR,1965
0057831,0444321,BEST-SUPPORTING-ACTRESS,1965
0058385,0002030,BEST-DIRECTOR,1965
0057590,,BEST-PICTURE,1964
0057251,0001627,BEST-ACTOR,1964
0057163,0623658,BEST-ACTRESS,1964
0057163,0002048,BEST-SUPPORTING-ACTOR,1964
0057634,0751983,BEST-SUPPORTING-ACTRESS,1964
0057590,0724798,BEST-DIRECTOR,1964
0056172,,BEST-PICTURE,1963
0056592,0000060,BEST-ACTOR,1963
0056241,0000843,BEST-ACTRESS,1963
0056541,0003225,BEST-SUPPORTING-ACTOR,1963
0056241,0001157,BEST-SUPPORTING-ACTRESS,1963
0056172,0000180,BEST-DIRECTOR,1963
0055614,,BEST-PICTURE,1962
0055031,0001703,BEST-ACTOR,1962
0054749,0000047,BEST-ACTRESS,1962
0055614,0001995,BEST-SUPPORTING-ACTOR,1962
0055614,0001549,BEST-SUPPORTING-ACTRESS,1962
0055614,0936404,BEST-DIRECTOR,1962
0053604,,BEST-PICTURE,1961
0053793,0000044,BEST-ACTOR,1961
0053622,0000072,BEST-ACTRESS,1961
0054331,0001811,BEST-SUPPORTING-ACTOR,1961
0053793,0429250,BEST-SUPPORTING-ACTRESS,1961
0053604,0000697,BEST-DIRECTOR,1961
0052618,,BEST-PICTURE,1960
0052618,0000032,BEST-ACTOR,1960
0053226,0797531,BEST-ACTRESS,1960
0052618,0341518,BEST-SUPPORTING-ACTOR,1960
0052738,0001859,BEST-SUPPORTING-ACTRESS,1960
0052618,0943758,BEST-DIRECTOR,1960
0051658,,BEST-PICTURE,1959
0052182,0000057,BEST-ACTOR,1959
0051758,0001333,BEST-ACTRESS,1959
0051411,0412322,BEST-SUPPORTING-ACTOR,1959
0052182,0384908,BEST-SUPPORTING-ACTRESS,1959
0051658,0591486,BEST-DIRECTOR,1959
0050212,,BEST-PICTURE,1958
0050212,0000027,BEST-ACTOR,1958
0051077,0940946,BEST-ACTRESS,1958
0050933,0000999,BEST-SUPPORTING-ACTOR,1958
0050933,0880855,BEST-SUPPORTING-ACTRESS,1958
0050212,0000180,BEST-DIRECTOR,1958
0048960,,BEST-PICTURE,1957
0049408,0000989,BEST-ACTOR,1957
0048947,0000006,BEST-ACTRESS,1957
0049456,0000063,BEST-SUPPORTING-ACTOR,1957
0049966,0540416,BEST-SUPPORTING-ACTRESS,1957
0049261,0828419,BEST-DIRECTOR,1957
0048356,,BEST-PICTURE,1956
0048356,0000308,BEST-ACTOR,1956
0048563,0536167,BEST-ACTRESS,1956
0048380,0000493,BEST-SUPPORTING-ACTOR,1956
0048028,0886888,BEST-SUPPORTING-ACTRESS,1956
0048356,0542720,BEST-DIRECTOR,1956
0047296,,BEST-PICTURE,1955
0047296,0000008,BEST-ACTOR,1955
0046874,0000038,BEST-ACTRESS,1955
0046754,0639529,BEST-SUPPORTING-ACTOR,1955
0047296,0001693,BEST-SUPPORTING-ACTRESS,1955
0047296,0001415,BEST-DIRECTOR,1955
0045793,,BEST-PICTURE,1954
0046359,0000034,BEST-ACTOR,1954
0046250,0000030,BEST-ACTRESS,1954
0045793,0000069,BEST-SUPPORTING-ACTOR,1954
0045793,0001656,BEST-SUPPORTING-ACTRESS,1954
0045793,0003593,BEST-DIRECTOR,1954
0044672,,BEST-PICTURE,1953
0044706,0000011,BEST-ACTOR,1953
0044509,0095804,BEST-ACTRESS,1953
0045296,0000063,BEST-SUPPORTING-ACTOR,1953
0044391,0002108,BEST-SUPPORTING-ACTRESS,1953
0045061,0000406,BEST-DIRECTOR,1953
0043278,,BEST-PICTURE,1952
0043265,0000007,BEST-ACTOR,1952
0044081,0000046,BEST-ACTRESS,1952
0044081,0001500,BEST-SUPPORTING-ACTOR,1952
0044081,0001375,BEST-SUPPORTING-ACTRESS,1952
0043924,0828419,BEST-DIRECTOR,1952
0042192,,BEST-PICTURE,1951
0042367,0001207,BEST-ACTOR,1951
0042276,0391062,BEST-ACTRESS,1951
0042192,0001695,BEST-SUPPORTING-ACTOR,1951
0042546,0401449,BEST-SUPPORTING-ACTRESS,1951
0042192,0000581,BEST-DIRECTOR,1951
0041113,,BEST-PICTURE,1950
0041113,0002024,BEST-ACTOR,1950
0041452,0000014,BEST-ACTRESS,1950
0041996,0415591,BEST-SUPPORTING-ACTOR,1950
0041113,0564790,BEST-SUPPORTING-ACTRESS,1950
0041587,0000581,BEST-DIRECTOR,1950
0040416,,BEST-PICTURE,1949
0040416,0000059,BEST-ACTOR,1949
0040495,0943837,BEST-ACTRESS,1949
0040897,0404158,BEST-SUPPORTING-ACTOR,1949
0040506,0872456,BEST-SUPPORTING-ACTRESS,1949
0040897,0001379,BEST-DIRECTOR,1949
0039416,,BEST-PICTURE,1948
0039335,0172903,BEST-ACTOR,1948
0039370,0949835,BEST-ACTRESS,1948
0039628,0350324,BEST-SUPPORTING-ACTOR,1948
0039416,0002141,BEST-SUPPORTING-ACTRESS,1948
0039416,0001415,BEST-DIRECTOR,1948
0036868,,BEST-PICTURE,1947
0036868,0545298,BEST-ACTOR,1947
0039040,0000014,BEST-ACTRESS,1947
0036868,0751174,BEST-SUPPORTING-ACTOR,1947
0038873,0000879,BEST-SUPPORTING-ACTRESS,1947
0036868,0943758,BEST-DIRECTOR,1947
0037884,,BEST-PICTURE,1946
0037884,0001537,BEST-ACTOR,1946
0037913,0001076,BEST-ACTRESS,1946
0038190,0007223,BEST-SUPPORTING-ACTOR,1946
0037120,0720843,BEST-SUPPORTING-ACTRESS,1946
0037884,0000697,BEST-DIRECTOR,1946
0036872,,BEST-PICTURE,1945
0036872,0001078,BEST-ACTOR,1945
0036855,0000006,BEST-ACTRESS,1945
0036872,0280178,BEST-SUPPORTING-ACTOR,1945
0037135,0000856,BEST-SUPPORTING-ACTRESS,1945
0036872,0564970,BEST-DIRECTOR,1945
0034583,,BEST-PICTURE,1944
0036515,0510134,BEST-ACTOR,1944
0036377,0428354,BEST-ACTRESS,1944
0036172,0002013,BEST-SUPPORTING-ACTOR,1944
0035896,0668093,BEST-SUPPORTING-ACTRESS,1944
0034583,0002031,BEST-DIRECTOR,1944
0035093,,BEST-PICTURE,1943
0035575,0000010,BEST-ACTOR,1943
0035093,0002093,BEST-ACTRESS,1943
0033774,0001336,BEST-SUPPORTING-ACTOR,1943
0035093,0942863,BEST-SUPPORTING-ACTRESS,1943
0035093,0943758,BEST-DIRECTOR,1943
0033729,,BEST-PICTURE,1942
0034167,0000011,BEST-ACTOR,1942
0034248,0000021,BEST-ACTRESS,1942
0033729,0187981,BEST-SUPPORTING-ACTOR,1942
0033677,0000802,BEST-SUPPORTING-ACTRESS,1942
0033729,0000406,BEST-DIRECTOR,1942
0032976,,BEST-PICTURE,1941
0032904,0000071,BEST-ACTOR,1941
0032671,0001677,BEST-ACTRESS,1941
0033253,0000974,BEST-SUPPORTING-ACTOR,1941
0032551,0002034,BEST-SUPPORTING-ACTRESS,1941
0032551,0000406,BEST-DIRECTOR,1941
0031381,,BEST-PICTURE,1940
0031385,0232196,BEST-ACTOR,1940
0031381,0000046,BEST-ACTRESS,1940
0031971,0593775,BEST-SUPPORTING-ACTOR,1940
0031381,0567408,BEST-SUPPORTING-ACTRESS,1940
0031381,0281808,BEST-DIRECTOR,1940
0030993,,BEST-PICTURE,1939
0029942,0000075,BEST-ACTOR,1939
0030287,0000012,BEST-ACTRESS,1939
0030317,0000974,BEST-SUPPORTING-ACTOR,1939
0030287,0047810,BEST-SUPPORTING-ACTRESS,1939
0030993,0001008,BEST-DIRECTOR,1939
0029146,,BEST-PICTURE,1938
0028691,0000075,BEST-ACTOR,1938
0028944,0707023,BEST-ACTRESS,1938
0029146,0771584,BEST-SUPPORTING-ACTOR,1938
0029047,0103567,BEST-SUPPORTING-ACTRESS,1938
0028597,0564970,BEST-DIRECTOR,1938
0027698,,BEST-PICTURE,1937
0028313,0612847,BEST-ACTOR,1937
0027698,0707023,BEST-ACTRESS,1937
0027459,0000974,BEST-SUPPORTING-ACTOR,1937
0027300,0814216,BEST-SUPPORTING-ACTRESS,1937
0027996,0001008,BEST-DIRECTOR,1937
0026752,,BEST-PICTURE,1936
0026529,0572142,BEST-ACTOR,1936
0026261,0000012,BEST-ACTRESS,1936
0026529,0000406,BEST-DIRECTOR,1936
0025316,,BEST-PICTURE,1935
0025316,0000022,BEST-ACTOR,1935
0025316,0001055,BEST-ACTRESS,1935
0025316,0001008,BEST-DIRECTOR,1935
0023876,,BEST-PICTURE,1934
0024473,0001452,BEST-ACTOR,1934
0024353,0000031,BEST-ACTRESS,1934
0023876,0515979,BEST-DIRECTOR,1934
0022958,,BEST-PICTURE,1932
0021730,0000891,BEST-ACTOR,1932
0022386,0371040,BEST-ACTRESS,1932
0021635,0097648,BEST-DIRECTOR,1932
0021746,,BEST-PICTURE,1931
0021885,0000859,BEST-ACTOR,1931
0021148,0237597,BEST-ACTRESS,1931
0022397,0851537,BEST-DIRECTOR,1931
0019729,,BEST-PICTURE,1930
0020018,0062828,BEST-ACTOR,1930
0019788,0681933,BEST-ACTRESS,1930
0019824,0515979,BEST-DIRECTOR,1930
0018578,,BEST-PICTURE,1929
0019071,0417837,BEST-ACTOR,1929
0018379,0310980,BEST-ACTRESS,1929
0018515,0587277,BEST-DIRECTOR,1929
0018379,0097648,BEST-DIRECTOR,1929
